Date,Time,x-booster (km),y-booster (km),z-booster (km),x-moon (km),y-moon (km),z-moon (km)
1/10/2022,10:59:59 AM,516057.8608,-132349.1381,-141551.5277,351456.1542,177483.082,55976.60876
1/10/2022,11:59:59 AM,516632.7903,-131412.0019,-142083.4802,349966.7279,180315.6605,57487.8536
1/10/2022,12:59:59 PM,517192.146,-130473.6115,-142609.8243,348447.9847,183133.273,58994.44397
1/10/2022,1:59:59 PM,522263.307,-130666.7791,-124422.4407,346900.1354,185935.6794,60496.06274
1/10/2022,2:59:59 PM,522807.9521,-129716.8274,-124931.74,345323.3155,188722.6793,61992.7368
1/10/2022,3:59:59 PM,523336.2481,-128765.6813,-125438.4041,343717.698,191494.0943,63484.21878
1/10/2022,4:59:59 PM,523847.2358,-127809.1657,-125941.9459,342083.4866,194249.6077,64970.53661
1/10/2022,5:59:59 PM,524340.9205,-126851.4189,-126442.557,340420.79,196989.1664,66451.44407
1/10/2022,6:59:59 PM,524817.3057,-125892.5417,-126940.2029,338729.824,199712.4638,67926.90154
1/10/2022,7:59:59 PM,525277.3041,-124928.8145,-127434.8494,337010.7474,202419.3208,69396.80128
1/10/2022,8:59:59 PM,525719.9979,-123964.1503,-127926.4619,335263.755,205109.5016,70861.03618
1/10/2022,9:59:59 PM,526146.2868,-122994.8219,-128415.0063,333488.9822,207782.8964,72319.43117
1/10/2022,10:59:59 PM,526555.2679,-122024.7484,-128900.448,331686.6256,210439.2745,73771.88043
1/10/2022,11:59:59 PM,526948.7757,-121050.4134,-129382.9857,329856.8729,213078.4008,75218.34733
1/11/2022,12:59:59 AM,527325.5139,-120071.6087,-129859.4981,327999.8981,215700.1147,76658.65881
1/11/2022,1:59:59 AM,527684.4069,-119096.252,-130335.6606,326115.864,218304.2504,78092.71103
1/11/2022,2:59:59 AM,528026.7757,-118112.6383,-130808.3499,324204.9724,220890.5875,79520.40087
1/11/2022,3:59:59 AM,528353.4002,-117129.0977,-131275.3772,322267.415,223458.9003,80941.69435
1/11/2022,4:59:59 AM,528662.1003,-116145.2358,-131741.721,320303.3804,226009.0463,82356.35283
1/11/2022,5:59:59 AM,528954.3417,-115157.4396,-132204.7238,318313.0228,228540.8609,83764.34378
1/11/2022,6:59:59 AM,529230.7411,-114165.933,-132661.7266,316296.5879,231054.0785,85165.56695
1/11/2022,7:59:59 AM,529490.1584,-113174.586,-133118.1834,314254.2148,233548.6115,86559.8545
